gene_short_name	locus	expression
5S_rRNA	12:34358633-34358752	0.89094
5S_rRNA	14:68123821-68123928	8.34293
5S_rRNA	16:34977638-34990886	6.47095
5S_rRNA	2:162266064-162266181	0
5S_rRNA	GL000192.1:415331-415454	1.04608
5S_rRNA	GL000228.1:20112-20230	0.22506
5S_rRNA	GL000228.1:22672-22791	9.91317
5S_rRNA	HG1032_PATCH:190936292-190936410	0
5S_rRNA	HG1032_PATCH:190938850-190938969	8.88424
5S_rRNA	HG1459_PATCH:147089816-147089932	6.0656
5S_rRNA	HG185_PATCH:39874405-39874512	0
5S_rRNA	HG256_PATCH:14156532-14156647	2.20667
5S_rRNA	HG388_HG400_PATCH:111799122-111799231	2.91185
5S_rRNA	HG75_PATCH:34818568-34818692	1.52466
5S_rRNA	HG905_PATCH:204830-204943	0.54091
5S_rRNA	HSCHR17_1:43404730-43404862	0
5S_rRNA	HSCHR18_1_CTG1_1:47845371-47845490	0
5S_rRNA	HSCHR6_MHC_APD:32057627-32057748	5.8296
5S_rRNA	HSCHR6_MHC_COX:31994747-31994868	9.68603
5S_rRNA	HSCHR6_MHC_DBB:32022102-32022223	4.64859
5S_rRNA	HSCHR6_MHC_MANN:32085736-32085857	0
5S_rRNA	HSCHR6_MHC_MCF:32122727-32122848	1.59049
5S_rRNA	HSCHR6_MHC_QBL:32003911-32004032	0
5S_rRNA	X:147089619-147089735	0
5S_rRNA	X:150194766-150194878	0
5S_rRNA	X:68892322-68892441	2.25179
7SK	13:45697227-45697549	0
7SK	16:81993523-81996298	0
7SK	21:26467334-26475983	5.01112
7SK	5:68266265-68325992	5.47045
7SK	6:136866329-136866630	0
7SK	8:144624279-144624570	2.75953
7SK	HSCHR12_1_CTG2_1:58371747-58372060	9.65907
7SK	HSCHR6_MHC_DBB:30822710-30823013	0
7SK	HSCHR6_MHC_MANN:30876717-30877020	6.4819
7SK	HSCHR6_MHC_MCF:30910595-30910898	3.59292
7SK	HSCHR6_MHC_QBL:30821624-30821927	3.25069
7SK	X:12632121-12632316	8.36256
A1BG	19:58856543-58864865	0
A1BG-AS1	19:58859116-58866549	3.09122
A1CF	10:52559168-52645435	6.66671
A2M	12:9220259-9268825	2.48905
A2M-AS1	12:9217772-9220651	9.54438
A2ML1	12:8975067-9039597	0
