gene_short_name	locus	expression
5S_rRNA	12:34358633-34358752	0
5S_rRNA	14:68123821-68123928	0
5S_rRNA	16:34977638-34990886	0
5S_rRNA	2:162266064-162266181	0
5S_rRNA	GL000192.1:415331-415454	0
5S_rRNA	GL000228.1:20112-20230	0
5S_rRNA	GL000228.1:22672-22791	0
5S_rRNA	HG1032_PATCH:190936292-190936410	0
5S_rRNA	HG1032_PATCH:190938850-190938969	0
5S_rRNA	HG1459_PATCH:147089816-147089932	0
5S_rRNA	HG185_PATCH:39874405-39874512	0
5S_rRNA	HG256_PATCH:14156532-14156647	0
5S_rRNA	HG388_HG400_PATCH:111799122-111799231	0
5S_rRNA	HG75_PATCH:34818568-34818692	0
5S_rRNA	HG905_PATCH:204830-204943	0
5S_rRNA	HSCHR17_1:43404730-43404862	0
5S_rRNA	HSCHR18_1_CTG1_1:47845371-47845490	0
5S_rRNA	HSCHR6_MHC_APD:32057627-32057748	0
5S_rRNA	HSCHR6_MHC_COX:31994747-31994868	0
5S_rRNA	HSCHR6_MHC_DBB:32022102-32022223	0
5S_rRNA	HSCHR6_MHC_MANN:32085736-32085857	0
5S_rRNA	HSCHR6_MHC_MCF:32122727-32122848	0
5S_rRNA	HSCHR6_MHC_QBL:32003911-32004032	0
5S_rRNA	X:147089619-147089735	0
5S_rRNA	X:150194766-150194878	0
5S_rRNA	X:68892322-68892441	0
7SK	13:45697227-45697549	0
7SK	16:81993523-81996298	2.82947097206488
7SK	21:26467334-26475983	0
7SK	5:68266265-68325992	0
7SK	6:136866329-136866630	0
7SK	8:144624279-144624570	3.96497299196199
7SK	HSCHR12_1_CTG2_1:58371747-58372060	0
7SK	HSCHR6_MHC_DBB:30822710-30823013	0
7SK	HSCHR6_MHC_MANN:30876717-30877020	0
7SK	HSCHR6_MHC_MCF:30910595-30910898	0
7SK	HSCHR6_MHC_QBL:30821624-30821927	0
7SK	X:12632121-12632316	0
A1BG	19:58856543-58864865	0.195416128262877
A1BG-AS1	19:58859116-58866549	5.30484228860587
A1CF	10:52559168-52645435	4.78487241547555
A2M	12:9220259-9268825	0.756190835963935
A2M-AS1	12:9217772-9220651	4.15985769825056
A2ML1	12:8975067-9039597	7.50201325630769
A2ML1-AS1	12:8928814-8983543	0
A2ML1-AS2	12:8972411-8973309	7.02685468131676
A2MP1	12:9381128-9428413	4.36764216748998
A3GALT2	1:33772366-33786699	0
A4GALT	22:43088126-43117304	2.27225122973323
A4GNT	3:137842559-137851229	0
AAAS	12:53701239-53718648	1.45197986857966
AACS	12:125549924-125627873	7.34085879288614
AACSP1	5:178191861-178245436	4.07342570833862
AADAC	3:151531824-151546276	0.615897697862238
AADACL2	3:151451703-151479127	0.0135943107306957
AADACL2	HSCHR3_1_CTG2_1:151462241-151489665	0
AADACL3	1:12776117-12788726	0
AADACL4	1:12704565-12727097	0
AADAT	4:170981372-171012850	5.64519460778683
AAED1	9:99401858-99417585	4.1437811171636
AAGAB	15:67493370-67547533	9.87592152087018
AAK1	2:69688531-69901481	6.83361133094877
AAMDC	11:77532154-77629478	7.28315610438585
AAMP	2:219128849-219134980	0.879833672661334
AANAT	17:74449432-74466199	0.89075613534078
AAR2	20:34824380-34858840	5.59899984393269
AARD	8:117950437-117956726	3.86712742969394
AARS	16:70286197-70323446	5.54491932271048
AARS2	6:44267390-44281063	0.0613416591659188
AARSD1	17:41102542-41116515	7.316722671967
AASDH	4:57204455-57253666	2.47327012708411
AASDHPPT	11:105946227-105969437	7.62428600806743
AASS	7:121715700-121784334	1.72428545309231
AATF	17:35306174-35414171	3.81202018819749
AATK	17:79091094-79139877	4.25573934102431
AATK-AS1	17:79139306-79156964	0
AB015752.3	8:91546838-91632298	0
AB019438.66	14:106892324-106892465	0
AB019438.66	HG1592_PATCH:106902751-106902892	0
AB019440.1	14:106663420-106663529	0
AB019440.50	14:106663245-106665214	0
AB019440.50	HG1592_PATCH:106672939-106674908	0
AB019441.29	14:106444606-106445233	3.70457121869549
AB019441.29	HG1592_PATCH:106444856-106445483	0
ABAT	16:8768421-8878432	0.910076762083918
ABBA01057584.1	HG1308_PATCH:130217800-130218782	0
ABC12-47043100G14.2	8:12147579-12153689	0
ABC13-48559800H2.1	HSCHR1_2_CTG31:155195548-155198898	0
ABC13-48559800H2.2	HSCHR1_2_CTG31:155180969-155183462	0
ABC7-42389800N19.1	12:73724-91218	2.64102804241702
ABC7-42389800N19.1	HG858_PATCH:64521-82015	0
ABC7-42389800N19.1	HSCHR12_1_CTG1:64521-82015	0
ABC7-42391500H16.2	HG1032_PATCH:191116881-191117345	0
ABC7-43041300I9.1	2:243160371-243160825	9.47279481217265
ABC7-43041300I9.1	HG1007_PATCH:243117331-243117785	0
ABC9-43961700F1.1	HSCHR17_5_CTG4:39394252-39394717	0
ABCA10	17:67143354-67240987	5.65899930894375
ABCA11P	4:419223-467918	3.87475562980399
ABCA11P	HG174_HG254_PATCH:425434-474129	0
ABCA12	2:215796265-216003151	7.41312158294022
ABCA13	7:48211054-48687092	9.78384102927521
ABCA17P	16:2389150-2476700	4.20623250072822
