gene_short_name	locus	expression
7SK	HSCHR6_MHC_MCF:30910595-30910898	0
7SK	HSCHR6_MHC_QBL:30821624-30821927	0
7SK	X:12632121-12632316	0
A1BG	19:58856543-58864865	0.195416128262877
A1BG-AS1	19:58859116-58866549	5.30484228860587
A1CF	10:52559168-52645435	4.78487241547555
A2M	12:9220259-9268825	0.756190835963935
A2M-AS1	12:9217772-9220651	4.15985769825056
A2ML1	12:8975067-9039597	7.50201325630769
A2ML1-AS1	12:8928814-8983543	0
A2ML1-AS2	12:8972411-8973309	7.02685468131676
A2MP1	12:9381128-9428413	4.36764216748998
A3GALT2	1:33772366-33786699	0
A4GALT	22:43088126-43117304	2.27225122973323
A4GNT	3:137842559-137851229	0
AAAS	12:53701239-53718648	1.45197986857966
AACS	12:125549924-125627873	7.34085879288614
AACSP1	5:178191861-178245436	4.07342570833862
AADAC	3:151531824-151546276	0.615897697862238
AADACL2	3:151451703-151479127	0.0135943107306957
AADACL2	HSCHR3_1_CTG2_1:151462241-151489665	0
